DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Waltham,3080000,115.1,115.1,110.7,146.1,9.9,9.3,506.2
Ware,3090000,18.9,19.2,22.6,25,2,1,88.6
Wareham,3100000,41.5,32.8,32.8,37.8,23.4,3.6,172
Watertown,3140000,58.8,47.9,47.8,26.4,70.9,7.9,259.7
Wayland,3150000,36.3,40.2,52.3,72.4,27.4,0,228.6
Webster,3160000,28.3,26.1,24.8,23.5,20.5,9.6,132.9
Wellesley,3170000,86.5,71.1,108.3,77.5,10.2,66.8,420.3
Wellfleet,3180000,7.5,6.2,0,0,1,0.5,15.2
West Boylston,3220000,14.7,15.9,20,14.9,21.2,0,86.7
West Bridgewater,3230000,20.2,14.7,20.8,33.2,6.5,2.2,97.6
West Springfield,3320000,62,59.9,67.7,50.4,73.1,10.7,323.9
Westborough,3210000,86.3,77.5,75.3,45.2,51.8,0,336.1
Westfield,3250000,80.3,68.3,83.2,77.2,104.8,0,413.7
Westford,3260000,67.4,72.4,88.1,115.6,1.2,0.3,345
Westhampton,3270000,5.2,5.2,1.9,0,3.2,0,15.5
Weston,3300000,33.1,35.4,41.5,41.9,2.7,25,179.5
Westport,3310000,28,26.7,27.3,7,28.4,0,117.4
Westwood,3350000,55.3,37.5,53.3,70.4,0,26,242.5
Weymouth,3360000,89.4,80.4,112.7,137.6,1.5,5,426.5
Whately,3370000,4.9,3.5,1.3,0,2.9,0,12.6
Whitman-Hanson,7800000,46.6,46.1,60.6,28.6,51,13.4,246.3
Whittier Regional Vocational Technical,8850000,0,0,0,90.9,14.4,0.8,106
Williamsburg,3400000,5,5.1,1.9,0,5.3,0,17.3
Wilmington,3420000,50.7,56.6,74.6,71.2,4.9,10.9,268.9
Winchendon,3430000,18.5,15.5,18.5,13.4,12,0,77.9
Winchester,3440000,69.6,68.5,84.3,96.1,17.6,12.6,348.7
Winthrop,3460000,32.4,25.5,34.5,40.8,15,2,150.2
Woburn,3470000,77,63.5,100,99.2,13,8.8,361.5
Worcester,3480000,363,265.6,476,548.4,187.6,0,"1,840.60"
Worthington,3490000,3,2.7,0.7,0,1,0,7.4
Wrentham,3500000,27.9,27.7,8,0,9.4,1.2,74.2
State Totals,0,"15,404.10","14,064.80","16,526.10","20,129.80","6,700.00","2,321.90","75,146.70"
,,,,,,,,
,,,,,,,,
"NOTE: When district data are missing, state FTE figures have been imputed using the missing districts' previous year's data",,,,,,,,
